id,name,points,wins,draws,losses,goals_for,goals_against,goals_diff,played,yc,rc,position
1,Arsenal,48,14,6,10,55,41,14,30,46,0,6
2,Bournemouth,33,8,9,13,35,48,-13,30,46,1,12
3,Brighton,34,8,10,12,28,40,-12,30,43,1,11
4,Burnley,43,11,10,9,27,26,1,30,55,0,7
5,Chelsea,56,17,5,8,52,27,25,30,35,4,5
6,Crystal Palace,27,6,9,15,28,48,-20,30,53,0,18
7,Everton,37,10,7,13,35,49,-14,30,44,3,9
8,Huddersfield,31,8,7,15,25,50,-25,30,44,3,15
9,Leicester,40,10,10,10,45,43,2,30,39,3,8
10,Liverpool,60,17,9,4,68,34,34,30,36,1,4
11,Man City,81,26,3,1,85,20,65,30,46,2,1
12,Man Utd,65,20,5,5,58,23,35,30,56,1,2
13,Newcastle,32,8,8,14,30,40,-10,30,41,2,13
14,Southampton,28,5,13,12,29,44,-15,30,41,0,17
15,Stoke City,27,6,9,15,28,56,-28,30,41,0,19
16,Swansea,31,8,7,15,25,42,-17,30,42,1,14
17,Spurs,61,18,7,5,59,25,34,30,38,2,3
18,Watford,36,10,6,14,39,50,-11,30,50,4,10
19,West Brom,20,3,11,16,23,47,-24,30,56,1,20
20,West Ham,30,7,9,14,36,57,-21,30,63,2,16
